City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mandali,33.7499,45.5541,31.82,20,0,5.25,IQ,1687113729
1,tripoli,32.8752,13.1875,24.12,54,0,5.21,LY,1687113730
2,novokruchininskiy,51.7833,113.7667,10.85,91,100,2.98,RU,1687113730
3,caravelas,-17.7125,-39.2481,24.07,79,93,5.1,BR,1687113730
4,luderitz,-26.6481,15.1594,13.41,80,83,6.1,NA,1687113730
5,moa,20.6569,-74.9403,30.8,66,19,5.45,CU,1687113730
6,busselton,-33.65,115.3333,8.53,81,37,2.16,AU,1687113731
7,avarua,-21.2078,-159.775,25.03,94,75,4.63,CK,1687113731
8,constitucion,-35.3333,-72.4167,13.84,82,100,4.98,CL,1687113731
9,huaibei,33.9744,116.7917,20.44,94,100,4.23,CN,1687113731
10,dibulla,11.2725,-73.3091,32.86,60,59,3.6,CO,1687113463
11,hermanus,-34.4187,19.2345,14.89,69,100,11.38,ZA,1687113732
12,hobart,-42.8794,147.3294,7.92,68,7,5.66,AU,1687113680
13,punta arenas,-53.15,-70.9167,3.06,81,40,10.8,CL,1687113722
14,mar del plata,-38.0023,-57.5575,12.19,64,20,5.14,AR,1687113732
15,husavik,66.0449,-17.3389,9.36,92,100,3.62,IS,1687113733
16,pochutla,15.7432,-96.4661,32.68,47,8,4.88,MX,1687113733
17,benghazi,32.1167,20.0667,22.63,72,0,3.79,LY,1687113733
18,krishnarajasagara,12.4089,76.5797,22.16,86,100,4.75,IN,1687113733
19,new norfolk,-42.7826,147.0587,7.73,73,10,0.89,AU,1687113734
20,ponta do sol,32.6667,-17.1,23.4,79,60,5.21,PT,1687113734
21,arraial do cabo,-22.9661,-42.0278,22.92,64,20,5.66,BR,1687113734
22,bredasdorp,-34.5322,20.0403,11.98,66,100,4.51,ZA,1687113734
23,hithadhoo,-0.6,73.0833,28.43,74,41,5.61,MV,1687113734
24,komsomolskiy,40.4272,71.7189,29.4,28,34,2.06,UZ,1687113735
25,jamestown,42.097,-79.2353,24.45,39,0,4.12,US,1687113675
26,lebu,-37.6167,-73.65,12.49,55,100,3.48,CL,1687113735
27,kapaa,22.0752,-159.319,26.18,78,40,5.14,US,1687113735
28,sechura,-5.5569,-80.8222,28.61,54,2,7.36,PE,1687113735
29,meadow lake,34.8014,-106.5436,30.47,17,0,7.45,US,1687113736
30,isangel,-19.55,169.2667,17.06,82,20,1.54,VU,1687113736
31,khatanga,71.9667,102.5,9.44,62,100,4.27,RU,1687113736
32,bereda,43.2686,-7.5406,21.75,86,35,1.63,ES,1687113736
33,bluff,-46.6,168.3333,6.02,81,5,3.12,NZ,1687113548
34,barrow,71.2906,-156.7887,1.01,86,100,5.66,US,1687113737
35,albany,42.6001,-73.9662,23.21,68,89,2.33,US,1687113454
36,coquimbo,-29.9533,-71.3436,15.85,77,75,4.63,CL,1687113196
37,hokitika,-42.7167,170.9667,10.33,81,83,2.84,NZ,1687113738
38,vila franca do campo,37.7167,-25.4333,20.23,83,95,5.03,PT,1687113588
39,flin flon,54.7682,-101.865,23.91,43,75,4.12,CA,1687113738
40,bethel,41.3712,-73.414,26.23,55,75,3.6,US,1687113738
41,kodiak,57.79,-152.4072,20.73,40,0,4.63,US,1687113740
42,meulaboh,4.1363,96.1285,25.19,83,95,2.27,ID,1687113740
43,vaini,-21.2,-175.2,19.09,94,20,1.54,TO,1687113740
44,thompson,55.7435,-97.8558,23.09,53,100,1.03,CA,1687113741
45,russell,32.3502,-85.1999,29.78,56,97,3.13,US,1687113741
46,nikolskoye,59.7035,30.7861,17.94,55,0,2.49,RU,1687113741
47,saskylakh,71.9167,114.0833,9.14,75,100,3.66,RU,1687113742
48,cap malheureux,-19.9842,57.6142,20.26,65,0,0.89,MU,1687113742
49,matveyevka,52.15,56.1833,11.16,68,95,8.17,RU,1687113742
50,rikitea,-23.1203,-134.9692,23.56,78,99,4.19,PF,1687113742
51,yar-sale,66.8333,70.8333,2.24,97,100,5.3,RU,1687113743
52,paita,-5.0892,-81.1144,26.57,66,0,8.21,PE,1687113804
53,bengkulu,-3.8004,102.2655,25.2,90,96,1.95,ID,1687113804
54,sibolga,1.7427,98.7792,25.03,86,88,1.74,ID,1687113804
55,antalaha,-14.9003,50.2788,21.84,88,72,4.17,MG,1687113804
56,chuy,-33.6971,-53.4616,14.26,56,74,1.94,UY,1687113805
57,qaanaaq,77.484,-69.3632,0.36,83,100,5.05,GL,1687113805
58,vangaindrano,-23.35,47.6,21.12,64,100,1.09,MG,1687113805
59,nichinan,31.6,131.3667,19.82,82,100,1.61,JP,1687113805
60,ushuaia,-54.8,-68.3,2.81,70,40,6.69,AR,1687113528
61,kamenka,51.3223,42.7678,11.43,82,13,3.83,RU,1687113806
62,mecca,21.4267,39.8261,34.39,30,41,2.39,SA,1687113794
63,yellowknife,62.456,-114.3525,16.29,48,40,5.66,CA,1687113662
64,xam nua,20.4197,104.0439,20.74,96,100,1.3,LA,1687113806
65,hami,42.8,93.45,25.94,11,8,5.09,CN,1687113807
